"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"NanoMOL-PER-L-DAY","NanoMOL-PER-L-DAY","Nanomoles per litre per day","http://qudt.org/vocab/unit/NanoMOL-PER-L-DAY","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",1.157407e-11,NA,NA,0
"NanoMOL-PER-L","NanoMOL-PER-L","Nanomoles per litre","http://qudt.org/vocab/unit/NanoMOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1e-06,NA,NA,0
"NanoMOL-PER-KiloGM","NanoMOL-PER-KiloGM","Nanomoles per kilogram","http://qudt.org/vocab/unit/NanoMOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1e-09,NA,NA,0
"NanoMOL-PER-GM-SEC","NanoMOL-PER-GM-SEC","Nanomoles per gram per second","http://qudt.org/vocab/unit/NanoMOL-PER-GM-SEC","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",1e-06,NA,NA,0
"NanoMOL-PER-CentiM3-HR","NanoMOL-PER-CentiM3-HR","Nanomoles per cubic centimetre per hour","http://qudt.org/vocab/unit/NanoMOL-PER-CentiM3-HR","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",2.7777777777e-07,NA,NA,0
"NanoMOL","NanoMOL","NanoMole","http://qudt.org/vocab/unit/NanoMOL","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T0D0",1e-09,NA,NA,0
"nanometer","NanoM","Nanometer","http://qudt.org/vocab/unit/NanoM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1e-09,NA,NA,0
"NanoM2","NanoM2","Square Nanometer","http://qudt.org/vocab/unit/NanoM2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",0,NA,NA,0
"NanoM-PER-MilliM-MegaPA","NanoM-PER-MilliM-MegaPA","Nanometer Per Millimeter Megapascal","http://qudt.org/vocab/unit/NanoM-PER-MilliM-MegaPA","http://qudt.org/vocab/dimensionvector/A0E0L1I0M-1H0T2D0",1e-12,NA,NA,0
"NanoM-PER-CentiM-PSI","NanoM-PER-CentiM-PSI","Nanometer Per Centimeter PSI","http://qudt.org/vocab/unit/NanoM-PER-CentiM-PSI","http://qudt.org/vocab/dimensionvector/A0E0L1I0M-1H0T2D0",1.450377e-11,NA,NA,0
"NanoM","NanoM","Nanometer","http://qudt.org/vocab/unit/NanoM","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1e-09,NA,NA,0
"NanoL","NanoL","Nanolitre","http://qudt.org/vocab/unit/NanoL","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",1e-12,NA,NA,0
"NanoH-PER-M","NanoH-PER-M","Nanohenry Per Meter","http://qudt.org/vocab/unit/NanoH-PER-M","http://qudt.org/vocab/dimensionvector/A0E-2L1I0M1H0T-2D0",1e-09,NA,NA,0
