"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"V_Stat","V_Stat","Statvolt","http://qudt.org/vocab/unit/V_Stat","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0",299.792458,NA,"""statvolt"" is a unit of voltage and electrical potential used in the cgs system of units. The conversion to the SI system is \(1 statvolt = 299.792458 volts\). The conversion factor 299.792458 is simply the numerical value of the speed of light in m/s divided by 106. The statvolt is also defined in the cgs system as \(1 erg / esu\). It is a useful unit for electromagnetism because one statvolt per centimetre is equal in magnitude to one gauss. Thus, for example, an electric field of one statvolt/cm has the same energy density as a magnetic field of one gauss. Likewise, a plane wave propagating in a vacuum has perpendicular electric and magnetic fields such that for every gauss of magnetic field intensity there is one statvolt/cm of electric field intensity. The abvolt is another option for a unit of voltage in the cgs system.",0
"V_Ab-SEC","V_Ab-SEC","Abvolt Second","http://qudt.org/vocab/unit/V_Ab-SEC","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",1e-08,NA,"The magnetic flux whose expenditure in 1 second produces 1 abvolt per turn of a linked circuit. Technically defined in a three-dimensional system, it corresponds in the four-dimensional electromagnetic sector of the SI system to 10 nWb, and is an impractically small unit. In use for some years, the name was agreed by the International Electrotechnical Committee in 1930, along with a corresponding practical unit, the pramaxwell (or pro-maxwell) = \(10^{8}\) maxwell.",0
"V_Ab-PER-CentiM","V_Ab-PER-CentiM","Abvolt per centimeter","http://qudt.org/vocab/unit/V_Ab-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1e-06,"In the electromagnetic centimeter-gram-second system of units, 'abvolt per centimeter' is the unit of electric field strength.",NA,0
"V_Ab","V_Ab","Abvolt","http://qudt.org/vocab/unit/V_Ab","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0",1e-08,NA,"A unit of electrical potential equal to one hundred millionth of a volt (\(10^{-8}\,volts\)), used in the centimeter-gram-second (CGS) system of units. One abV is the potential difference that exists between two points when the work done to transfer one abcoulomb of charge between them equals: \(1\,erg\cdot\,1\,abV\,=\,10\,nV\).",0
"V.us-1","V-PER-MicroSEC","Volt Per Microsecond","http://qudt.org/vocab/unit/V-PER-MicroSEC","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-4D0",1e+06,NA,NA,0
"V.s.m-1","V-SEC-PER-M","Volt Second Per Meter","http://qudt.org/vocab/unit/V-SEC-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1,NA,NA,0
"V.s-1","V-PER-SEC","Volt per second","http://qudt.org/vocab/unit/V-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-4D0",1,"'Volt per Second' is a unit of magnetic flux equaling one weber. This is the flux passing through a conducting loop and reduced to zero at a uniform rate in one second inducing an electric potential of one volt in the loop.",NA,0
"V.mm-1","V-PER-MilliM","Volt Per Millimeter","http://qudt.org/vocab/unit/V-PER-MilliM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1000,NA,NA,0
"V.m-2","V-PER-M2","Volt per Square Meter","http://qudt.org/vocab/unit/V-PER-M2","http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-3D0",1,NA,"The divergence at a particular point in a vector field is (roughly) how much the vector field 'spreads out' from that point. Operationally, we take the partial derivative of each of the field with respect to each of its space variables and add all the derivatives together to get the divergence. Electric field (V/m) differentiated with respect to distance (m) yields \(V/(m^2)\).",0
"V.m-1","V-PER-M","Volt per Meter","http://qudt.org/vocab/unit/V-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1,NA,"Volt Per Meter (V/m) is a unit in the category of Electric field strength. It is also known as volts per meter, volt/meter, volt/metre, volt per metre, volts per metre. This unit is commonly used in the SI unit system. Volt Per Meter (V/m) has a dimension of \(MLT^{-3}I^{-1}\) where M is mass, L is length, T is time, and I is electric current. This unit is the standard SI unit in this category.",0
"V.m","V-M","V-M","http://qudt.org/vocab/unit/V-M","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-3D0",1,NA,NA,0
"V.K-1","V-PER-K","Volt per Kelvin","http://qudt.org/vocab/unit/V-PER-K","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H-1T-3D0",1,NA,NA,0
"V.cm-1","V-PER-CentiM","Volt Per Centimeter","http://qudt.org/vocab/unit/V-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",100,NA,NA,0
"V.A{reactive}.h","V-A_Reactive-HR","Volt Ampere Reactive Hour","http://qudt.org/vocab/unit/V-A_Reactive-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3600,NA,NA,0
"V.A{reactive}","V-A_Reactive","Volt Ampere Reactive","http://qudt.org/vocab/unit/V-A_Reactive","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,NA,NA,0
"V.A.h","V-A-HR","Volt Ampere Hour","http://qudt.org/vocab/unit/V-A-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3600,NA,NA,0
"V.A","V-A","Volt Ampere","http://qudt.org/vocab/unit/V-A","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,NA,NA,0
"V.[in_i]-1","V-PER-IN","Volt Per Inch","http://qudt.org/vocab/unit/V-PER-IN","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",39.3700787401575,NA,NA,0
"V-SEC-PER-M","V-SEC-PER-M","Volt Second Per Meter","http://qudt.org/vocab/unit/V-SEC-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1,NA,NA,0
"V-PER-SEC","V-PER-SEC","Volt per second","http://qudt.org/vocab/unit/V-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-4D0",1,"'Volt per Second' is a unit of magnetic flux equaling one weber. This is the flux passing through a conducting loop and reduced to zero at a uniform rate in one second inducing an electric potential of one volt in the loop.",NA,0
"V-PER-MilliM","V-PER-MilliM","Volt Per Millimeter","http://qudt.org/vocab/unit/V-PER-MilliM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1000,NA,NA,0
"V-PER-MicroSEC","V-PER-MicroSEC","Volt Per Microsecond","http://qudt.org/vocab/unit/V-PER-MicroSEC","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-4D0",1e+06,NA,NA,0
"V-PER-M2","V-PER-M2","Volt per Square Meter","http://qudt.org/vocab/unit/V-PER-M2","http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-3D0",1,NA,"The divergence at a particular point in a vector field is (roughly) how much the vector field 'spreads out' from that point. Operationally, we take the partial derivative of each of the field with respect to each of its space variables and add all the derivatives together to get the divergence. Electric field (V/m) differentiated with respect to distance (m) yields \(V/(m^2)\).",0
"V-PER-M","V-PER-M","Volt per Meter","http://qudt.org/vocab/unit/V-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1,NA,"Volt Per Meter (V/m) is a unit in the category of Electric field strength. It is also known as volts per meter, volt/meter, volt/metre, volt per metre, volts per metre. This unit is commonly used in the SI unit system. Volt Per Meter (V/m) has a dimension of \(MLT^{-3}I^{-1}\) where M is mass, L is length, T is time, and I is electric current. This unit is the standard SI unit in this category.",0
"V-PER-K","V-PER-K","Volt per Kelvin","http://qudt.org/vocab/unit/V-PER-K","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H-1T-3D0",1,NA,NA,0
"V-PER-IN","V-PER-IN","Volt Per Inch","http://qudt.org/vocab/unit/V-PER-IN","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",39.3700787401575,NA,NA,0
"V-PER-CentiM","V-PER-CentiM","Volt Per Centimeter","http://qudt.org/vocab/unit/V-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",100,NA,NA,0
"V-M","V-M","V-M","http://qudt.org/vocab/unit/V-M","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-3D0",1,NA,NA,0
"V-A_Reactive-HR","V-A_Reactive-HR","Volt Ampere Reactive Hour","http://qudt.org/vocab/unit/V-A_Reactive-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3600,NA,NA,0
"V-A_Reactive","V-A_Reactive","Volt Ampere Reactive","http://qudt.org/vocab/unit/V-A_Reactive","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,NA,NA,0
"V-A-HR","V-A-HR","Volt Ampere Hour","http://qudt.org/vocab/unit/V-A-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3600,NA,NA,0
"V-A","V-A","Volt Ampere","http://qudt.org/vocab/unit/V-A","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,NA,NA,0
"V","V","Volt","http://qudt.org/vocab/unit/V","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0",1,NA,"\(\textit{Volt} is the SI unit of electric potential. Separating electric charges creates potential energy, which can be measured in energy units such as joules. Electric potential is defined as the amount of potential energy present per unit of charge. Electric potential is measured in volts, with one volt representing a potential of one joule per coulomb of charge. The name of the unit honors the Italian scientist Count Alessandro Volta (1745-1827), the inventor of the first battery.  The volt also may be expressed with a variety of other units. For example, a volt is also equal to one watt per ampere (W/A) and one joule per ampere per second (J/A/s).\)",0
"uW.m-2","MicroW-PER-M2","Microwatt Per Square Meter","http://qudt.org/vocab/unit/MicroW-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1e-06,NA,NA,0
"uV.m-1","MicroV-PER-M","Microvolt Per Meter","http://qudt.org/vocab/unit/MicroV-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",1e-06,NA,NA,0
"uSv.h-1","MicroSV-PER-HR","MicroSievert per hour","http://qudt.org/vocab/unit/MicroSV-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",2.77778e-10,"0.000001-fold of the derived SI unit sievert divided by the unit hour",NA,0
"uSv","MicroSV","MicroSievert","http://qudt.org/vocab/unit/MicroSV","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-2D0",1e-06,"Although the sievert has the same dimensions as the gray (i.e. joules per kilogram), it measures a different quantity. To avoid any risk of confusion between the absorbed dose and the equivalent dose, the corresponding special units, namely the gray instead of the joule per kilogram for absorbed dose and the sievert instead of the joule per kilogram for the dose equivalent, should be used. 0.000001-fold of the SI derived unit sievert.",NA,0
"uspercentimeter","MicroS-PER-CentiM","Microsiemens Per Centimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1e-04,NA,NA,0
"uS.m-1","MicroS-PER-M","Microsiemens Per Meter","http://qudt.org/vocab/unit/MicroS-PER-M","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1e-06,NA,NA,0
"uS.cm-1","MicroS-PER-CentiM","Microsiemens Per Centimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0",1e-04,NA,NA,0
"urad","MicroRAD","microradian","http://qudt.org/vocab/unit/MicroRAD","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,0
"uPa","MicroPA","Micropascal","http://qudt.org/vocab/unit/MicroPA","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",1e-06,NA,NA,0
"uOhm","MicroOHM","Microohm","http://qudt.org/vocab/unit/MicroOHM","http://qudt.org/vocab/dimensionvector/A0E-2L2I0M1H0T-3D0",1e-06,NA,NA,0
"UnitPole","UnitPole","Unit Pole","http://qudt.org/vocab/unit/UnitPole","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",1.256637e-07,"A magnetic pole is a unit pole if it exerts a force of one dyne on another pole of equal strength at a distance of 1 cm. The strength of any given pole in cgs units is therefore numerically equal to the force in dynes which it exerts on a unit pole 1 cm away.",NA,0
"unitless(normalizeddata)","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,0
"unitless(normalized)","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,0
"UNITLESS","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,0
"unitless","UNITLESS","Unitless","http://qudt.org/vocab/unit/UNITLESS","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1,"An explicit unit to say something has no units.",NA,0
"uN.m","MicroN-M","Micronewton Meter","http://qudt.org/vocab/unit/MicroN-M","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1e-06,NA,NA,0
"umol/umol/d","MicroMOL-PER-MicroMOL-DAY","Micromole per micromole of biomass per day","http://qudt.org/vocab/unit/MicroMOL-PER-MicroMOL-DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1.157407407407e-05,NA,NA,0
"umol/s","MicroMOL-PER-SEC","Micromoles per second","http://qudt.org/vocab/unit/MicroMOL-PER-SEC","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0",1e-06,NA,NA,0
"umol/mol","MicroMOL-PER-MOL","Micromoles per mole","http://qudt.org/vocab/unit/MicroMOL-PER-MOL","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,0
"umol/m2/s","MicroMOL-PER-M2-SEC","Micromoles per square metre per second","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1e-06,NA,NA,0
"umol/m2/h","MicroMOL-PER-M2-HR","Micromoles per square metre per hour","http://qudt.org/vocab/unit/MicroMOL-PER-M2-HR","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",2.7777777e-10,NA,NA,0
"umol/m2/d","MicroMOL-PER-M2-DAY","Micromoles per square metre per day","http://qudt.org/vocab/unit/MicroMOL-PER-M2-DAY","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1.157407e-11,NA,NA,0
"umol/m2","MicroMOL-PER-M2","Micromoles per square metre","http://qudt.org/vocab/unit/MicroMOL-PER-M2","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T0D0",1e-06,NA,NA,0
"umol/L/h","MicroMOL-PER-L-HR","Micromoles per litre per hour","http://qudt.org/vocab/unit/MicroMOL-PER-L-HR","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",2.7777777777e-07,NA,NA,0
"umol/L","MicroMOL-PER-L","Micromoles per litre","http://qudt.org/vocab/unit/MicroMOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",0.001,NA,NA,0
"umol/kg","MicroMOL-PER-KiloGM","Micromoles per kilogram","http://qudt.org/vocab/unit/MicroMOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1e-06,NA,NA,0
"umol/g/s","MicroMOL-PER-GM-SEC","Micromoles per gram per second","http://qudt.org/vocab/unit/MicroMOL-PER-GM-SEC","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",1e-04,NA,NA,0
"umol/g/h","MicroMOL-PER-GM-HR","Micromoles per gram per hour","http://qudt.org/vocab/unit/MicroMOL-PER-GM-HR","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",2.7777777777e-07,NA,NA,0
"umol/g","MicroMOL-PER-GM","Micromoles per gram","http://qudt.org/vocab/unit/MicroMOL-PER-GM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",0.001,NA,"Micromole Per Gram (\(umol/g\)) is a unit of Molality",0
"umol.umol-1.d-1","MicroMOL-PER-MicroMOL-DAY","Micromole per micromole of biomass per day","http://qudt.org/vocab/unit/MicroMOL-PER-MicroMOL-DAY","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1.157407407407e-05,NA,NA,0
"umol.s-1","MicroMOL-PER-SEC","Micromoles per second","http://qudt.org/vocab/unit/MicroMOL-PER-SEC","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0",1e-06,NA,NA,0
"umol.mol-1","MicroMOL-PER-MOL","Micromoles per mole","http://qudt.org/vocab/unit/MicroMOL-PER-MOL","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",1e-06,NA,NA,0
"umol.m-2.s-1","MicroMOL-PER-M2-SEC","Micromoles per square metre per second","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1e-06,NA,NA,0
"umol.m-2.h-1","MicroMOL-PER-M2-HR","Micromoles per square metre per hour","http://qudt.org/vocab/unit/MicroMOL-PER-M2-HR","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",2.7777777e-10,NA,NA,0
"umol.m-2.d-1","MicroMOL-PER-M2-DAY","Micromoles per square metre per day","http://qudt.org/vocab/unit/MicroMOL-PER-M2-DAY","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1.157407e-11,NA,NA,0
"umol.m-2","MicroMOL-PER-M2","Micromoles per square metre","http://qudt.org/vocab/unit/MicroMOL-PER-M2","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T0D0",1e-06,NA,NA,0
"umol.L-1.h-1","MicroMOL-PER-L-HR","Micromoles per litre per hour","http://qudt.org/vocab/unit/MicroMOL-PER-L-HR","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",2.7777777777e-07,NA,NA,0
"umol.L-1","MicroMOL-PER-L","Micromoles per litre","http://qudt.org/vocab/unit/MicroMOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",0.001,NA,NA,0
"umol.kg-1","MicroMOL-PER-KiloGM","Micromoles per kilogram","http://qudt.org/vocab/unit/MicroMOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1e-06,NA,NA,0
"umol.g-1.s-1","MicroMOL-PER-GM-SEC","Micromoles per gram per second","http://qudt.org/vocab/unit/MicroMOL-PER-GM-SEC","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",1e-04,NA,NA,0
"umol.g-1.h-1","MicroMOL-PER-GM-HR","Micromoles per gram per hour","http://qudt.org/vocab/unit/MicroMOL-PER-GM-HR","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",2.7777777777e-07,NA,NA,0
"umol.g-1","MicroMOL-PER-GM","Micromoles per gram","http://qudt.org/vocab/unit/MicroMOL-PER-GM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",0.001,NA,"Micromole Per Gram (\(umol/g\)) is a unit of Molality",0
